gt_class,role,novel_class,N,mean_cos,std_cos,p10_cos,p50_cos,p90_cos,max_cos
tanker_vehicle,novel,crane_truck,256,0.502275824546814,0.15290969610214233,0.3652942329645157,0.4485379010438919,0.8099401295185089,0.9483206868171692
tanker_vehicle,novel,street_cart,256,0.5010808706283569,0.15314488112926483,0.34889963269233704,0.44534868001937866,0.7864755988121033,0.9008421897888184
tanker_vehicle,novel,excavator,256,0.5490812063217163,0.1609557420015335,0.41156822443008423,0.476487934589386,0.8310252726078033,0.9379456043243408
truck,novel,bus,5324,0.5189442038536072,0.19518247246742249,0.27377270460128783,0.4529109448194504,0.7823983073234558,0.9426689743995667
truck,novel,truck,5324,0.5770875215530396,0.17051169276237488,0.38501136004924774,0.5235449075698853,0.7935605764389038,0.9660872220993042
truck,novel,tanker_vehicle,5324,0.6335871815681458,0.1611151546239853,0.4657413184642792,0.5692269206047058,0.8649669289588928,0.9633018374443054
truck,novel,crane_truck,5324,0.49178144335746765,0.13887247443199158,0.3412909418344498,0.46849729120731354,0.6721382796764374,0.9528028964996338
truck,novel,street_cart,5324,0.4976399540901184,0.15348109602928162,0.33051678240299226,0.4799830913543701,0.7166767835617064,0.9321633577346802
truck,novel,excavator,5324,0.535163938999176,0.15598222613334656,0.3844576507806778,0.4793471097946167,0.7409414350986481,0.9571987390518188
animal,unknown,bus,107,0.26641952991485596,0.19475798308849335,0.05303263887763024,0.21175497770309448,0.585940420627594,0.8464774489402771
animal,unknown,truck,107,0.3320184648036957,0.21747712790966034,0.08336154818534852,0.2382081001996994,0.6894096016883852,0.8923846483230591
animal,unknown,tanker_vehicle,107,0.3148519992828369,0.20545527338981628,0.10274541974067689,0.284900963306427,0.6591741204261781,0.908413290977478
animal,unknown,crane_truck,107,0.23330485820770264,0.20972396433353424,0.041527901589870464,0.16781918704509735,0.6494952201843261,0.8257601857185364
animal,unknown,street_cart,107,0.34253475069999695,0.17832054197788239,0.13980611264705659,0.3215853273868561,0.6465967178344727,0.8938761353492737
animal,unknown,excavator,107,0.34229424595832825,0.20311370491981506,0.12884773612022402,0.2937123775482178,0.6744445562362672,0.9262186288833618
concrete_mixer,unknown,bus,64,0.4166662395000458,0.18772435188293457,0.22770100831985474,0.3736443668603897,0.7874658167362213,0.8560653328895569
concrete_mixer,unknown,truck,64,0.5092329978942871,0.15150855481624603,0.37324499785900117,0.45454074442386627,0.7496316015720368,0.9268426895141602
concrete_mixer,unknown,tanker_vehicle,64,0.5823391675949097,0.14122967422008514,0.45534793436527254,0.5462369024753571,0.8422999799251557,0.937506377696991
concrete_mixer,unknown,crane_truck,64,0.4966803193092346,0.13797707855701447,0.384043025970459,0.44653482735157013,0.655113846063614,0.9278025031089783
